11
Depot;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
0;1289;3605;2912;1455;3235;2589;1904;3165;3097;2005
1289;0;3074;3123;2097;3156;3878;3193;1876;4005;2758
3605;3074;0;1798;3433;2055;3823;3443;1198;2901;4250
2912;3123;1798;0;2289;3853;3055;1850;2567;3300;3445
1455;2097;3433;2289;0;1780;3672;3359;2235;3387;1156
3235;3156;2055;3853;1780;0;3012;3747;3253;2297;2936
2589;3878;3823;3055;3672;3012;0;1205;3450;2655;2980
1904;3193;3443;1850;3359;3747;1205;0;2245;1450;3010
3165;1876;1198;2567;2235;3253;3450;2245;0;3695;3391
3097;4005;2901;3300;3387;2297;2655;1450;3695;0;2890
2005;2758;4250;3445;1156;2936;2980;3010;3391;2890;0
